                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.673,                 6.0314,                 4.4189,                  7e-05,                0.02703,                  6e-05,                  2e-05,                 5.1184,                 6.7691,                 4.1586,                0.00012,                0.00012,                0.00012
                      2,                 4.5171,                 5.7864,                 4.3229,                  7e-05,                0.02703,                  6e-05,                  1e-05,                 5.1213,                  6.763,                 4.1599,             0.00025604,             0.00025604,             0.00025604
                      3,                  4.162,                 5.7024,                 4.1947,                  7e-05,                0.02703,                  7e-05,                  2e-05,                 5.1278,                 6.7468,                 4.1642,             0.00038782,             0.00038782,             0.00038782
                      4,                 4.1265,                 5.4968,                 4.1333,                  7e-05,                0.02703,                  6e-05,                  2e-05,                 5.1345,                 6.7325,                 4.1704,             0.00051533,             0.00051533,             0.00051533
                      5,                 4.1456,                 5.4315,                 4.0019,                  8e-05,                0.02703,                  7e-05,                  2e-05,                 5.1404,                 6.7092,                 4.1803,             0.00063857,             0.00063857,             0.00063857
                      6,                 3.8505,                 5.2586,                 3.9276,                  8e-05,                0.02703,                  7e-05,                  2e-05,                 5.1495,                 6.6625,                 4.1861,             0.00075755,             0.00075755,             0.00075755
                      7,                 3.8295,                 4.9412,                   3.72,                  7e-05,                0.02703,                  5e-05,                  2e-05,                 5.2059,                 6.6538,                 4.2408,             0.00087227,             0.00087227,             0.00087227
                      8,                 3.4454,                 4.4646,                 3.5293,                0.00011,                0.04054,                  9e-05,                  2e-05,                 5.2122,                 6.6177,                 4.2528,             0.00098272,             0.00098272,             0.00098272
                      9,                 3.3026,                 4.0232,                  3.396,                0.00011,                0.04054,                  7e-05,                  2e-05,                 5.1824,                 6.4326,                 4.2603,              0.0010889,              0.0010889,              0.0010889
                     10,                 3.2643,                 3.7662,                 3.3089,                  7e-05,                0.02703,                  4e-05,                  1e-05,                 5.2314,                 6.3337,                  4.328,              0.0011908,              0.0011908,              0.0011908
                     11,                 3.0062,                 3.7023,                 3.1832,                  7e-05,                0.02703,                  4e-05,                  2e-05,                 5.1948,                 6.1373,                 4.3007,              0.0012885,              0.0012885,              0.0012885
                     12,                 3.0292,                 3.5389,                 3.1427,                 0.0001,                0.04054,                  7e-05,                  2e-05,                 5.1638,                 5.9928,                 4.2823,              0.0013819,              0.0013819,              0.0013819
                     13,                 3.0505,                 3.4648,                  3.049,                0.00014,                0.05405,                 0.0001,                  2e-05,                  5.189,                 5.9687,                 4.3028,               0.001471,               0.001471,               0.001471
                     14,                 2.8512,                 3.0513,                 2.8927,                0.00025,                0.09459,                0.00019,                  4e-05,                 4.8346,                 5.6087,                 3.9651,              0.0015559,              0.0015559,              0.0015559
                     15,                 2.8019,                 3.1731,                 2.9391,                0.00029,                0.10811,                0.00028,                  4e-05,                 4.6292,                 5.5737,                 3.8379,              0.0015735,              0.0015735,              0.0015735
                     16,                 2.5952,                 3.0644,                 2.9095,                  0.062,                0.06757,                0.01876,                0.00675,                 3.5775,                 5.1295,                 3.3276,              0.0015431,              0.0015431,              0.0015431
                     17,                 2.6004,                 3.0171,                 2.8285,                 0.0261,                0.08108,                0.02442,                0.00662,                 3.2272,                 5.0273,                 3.1871,              0.0015126,              0.0015126,              0.0015126
                     18,                  2.452,                 2.7142,                 2.6484,                0.26826,                0.13514,                0.11888,                0.04282,                 2.7536,                 4.3011,                 2.9707,              0.0014822,              0.0014822,              0.0014822
                     19,                 2.6073,                 2.7257,                 2.6616,                 0.3094,                0.31081,                0.19837,                0.07245,                 2.5302,                 3.6864,                 2.8854,              0.0014517,              0.0014517,              0.0014517
                     20,                  2.761,                 3.2628,                 2.7675,                0.39519,                0.08108,                0.06917,                0.02518,                 2.6504,                 3.9533,                 2.9275,              0.0014212,              0.0014212,              0.0014212
                     21,                 2.6877,                 2.5902,                 2.7112,                0.49565,                0.09306,                0.15831,                0.04865,                 2.5135,                 3.7038,                 2.7605,              0.0013908,              0.0013908,              0.0013908
                     22,                 2.4981,                 2.6954,                 2.6195,                0.43483,                0.41892,                0.34419,                0.09955,                  2.543,                 3.0297,                 2.8154,              0.0013603,              0.0013603,              0.0013603
                     23,                 2.4206,                  2.515,                 2.5128,                0.13936,                0.16216,                0.10338,                0.04251,                 2.5104,                 3.3665,                 2.7083,              0.0013298,              0.0013298,              0.0013298
                     24,                 2.7437,                 2.5473,                 2.7514,                0.44499,                 0.2973,                0.32049,                0.12297,                 2.4194,                 2.6733,                 2.6677,              0.0012994,              0.0012994,              0.0012994
                     25,                 2.4283,                 2.6672,                 2.5182,                0.19211,                0.37838,                0.17313,                0.07384,                 2.3036,                 2.8789,                 2.5953,              0.0012689,              0.0012689,              0.0012689
                     26,                 2.3776,                 2.5727,                 2.6005,                0.24434,                0.28378,                0.21715,                 0.0703,                 2.4997,                 3.0009,                 2.6749,              0.0012385,              0.0012385,              0.0012385
                     27,                 2.4806,                 2.6306,                 2.6129,                0.30398,                0.36486,                0.28735,                0.08467,                 2.7687,                 5.3567,                 3.2346,               0.001208,               0.001208,               0.001208
                     28,                 2.3654,                 2.4203,                 2.5767,                0.38165,                0.39189,                0.34627,                0.13034,                 2.3735,                 2.5769,                 2.6388,              0.0011775,              0.0011775,              0.0011775
